REG_ID	REG_ID_GROUP	STATION_NAME	SYNONYM_NAMES	ICES_STATION_NAME	LAT_DM	LONG_DM	LATITUDE_WGS84_SWEREF99_DD	LONGITUDE_WGS84_SWEREF99_DD	LATITUDE_SWEREF99TM	LONGITUDE_SWEREF99TM	OUT_OF_BOUNDS_RADIUS	WADEP	EU_CD	MEDIA	COMNT	OLD_SHARK_ID
136038	264350	AH 1		AH 1	6013.20	1858.52	60.22	18.9754	6682546	720175	1200			Biota	VAL-2018-05-14	
136039	264351	AH 2		AH 2	6009.64	1859.31	60.1607	18.9885	6675997	721299	1200			Biota	VAL-2018-05-14	
136040	264352	AH 3		AH 3	6003.28	1857.51	60.0546	18.9585	6664091	720344	1200			Biota	VAL-2018-05-14	
136041	264353	AH 4		AH 4	6001.52	1906.96	60.0254	19.1161	6661380	729310	1200			Biota	VAL-2018-05-14	
136042	264354	AH 5		AH 5	5957.95	1913.09	59.9658	19.2181	6655109	735412	1200			Biota	VAL-2018-05-14	
136043	264355	AH 6		AH 6	5954.86	1909.79	59.9143	19.1631	6649187	732706	1200			Biota	VAL-2018-05-14	
136044	264356	AH 7		AH 7	5957.74	1919.62	59.9623	19.327	6655113	741510	1200			Biota	VAL-2018-05-14	
136045	264357	AH 8		AH 8	5954.65	1916.13	59.9109	19.2688	6649186	738634	1200			Biota	VAL-2018-05-14	
136046	264358	AH 9		AH 9	5952.36	1919.00	59.8727	19.3166	6645116	741580	1200			Biota	VAL-2018-05-14	
136047	264359	AH 10		AH 10	5945.48	1935.35	59.7579	19.5892	6633377	757709	1200			Biota	VAL-2018-05-14	
136048	264360	D3			6248.05	1810.86	62.8008	18.181	6967404	662174	1200			Biota	VAL-2018-05-14	
136049	264361	D10			6252.64	1813.01	62.8773	18.2168	6976011	663574	1200			Biota	VAL-2018-05-14	
136050	264362	D16			6254.20	1817.68	62.9033	18.2947	6979105	667381	1200			Biota	VAL-2018-05-14	
136051	264363	D17			6248.00	1813.96	62.8	18.2327	6967443	664811	1200			Biota	VAL-2018-05-14	
136052	264364	D23			6253.14	1820.47	62.8857	18.3412	6977260	669844	1200			Biota	VAL-2018-05-14	
136053	264365	D4			6248.91	1815.70	62.8152	18.2617	6969206	666203	1200			Biota	VAL-2018-05-14	
136054	264366	D7			6250.67	1818.04	62.8445	18.3007	6972572	668022	1200			Biota	VAL-2018-05-14	
136055	264367	KNAPPEN			5731.25	1154.46	57.5208	11.9077	6379582	314817	1200			Biota	VAL-2018-05-14	
136056	264368	D12			6253.10	1812.51	62.885	18.2085	6976843	663108	1200			Biota	VAL-2018-05-14	
156741	264369	PMK5 KÅLLAFJÄRDEN	KF 2<or>KF 3<or>PMK5		5604.25	1545.28	56.0708	15.7547	6214217	546982	1200	12.7		"Biota;Vatten"		
156742	264370	URSVIKSFJÄRDEN	SKELLEFTEÄLVEN URSVIK		6441.64	2110.63	64.694	21.1772	7188711	794260	1200	16		"Biota;Vatten"	VAL-2018-05-14	GBBS01
156743	264371	REFM4S4			5759.14	1643.79	57.9857	16.7298	6428424	602283	1200			"Biota;Vatten"	VAL-2018-05-14	
156744	264372	NK 7		NK 7	6342.23	2118.32	63.7038	21.3053	7079389	811285	1200			"Biota;Vatten"	VAL-2018-05-14	
156745	264373	MB4MS			5705.97	1633.66	57.0995	16.561	6329544	594569	1200			"Biota;Vatten"	VAL-2018-05-14	
156746	264374	V14MS			5744.38	1641.44	57.7397	16.6907	6400983	600652	1200			"Biota;Vatten"	VAL-2018-05-14	
156747	264375	NK 2		NK 2	6338.89	2114.53	63.6482	21.2422	7072903	808780	1200			"Biota;Vatten"	VAL-2018-05-14	
156748	264376	K1 DANMARKSFJÄRDEN	K1<or>K1 BLEK		5610.24	1533.32	56.1707	15.5553	6225213	534482	1200			"Biota;Vatten"	VAL-2018-05-14	
156749	264377	NK 4		NK 4	6341.68	2112.14	63.6947	21.2023	7077874	806311	1200			"Biota;Vatten"	VAL-2018-05-14	
156750	264378	N7 VALJEVIKEN			5602.42	1432.22	56.0403	14.537	6210665	471154	1200			"Biota;Vatten"	VAL-2018-05-14	
156751	264379	ÅNGERMANÄLVEN 3	3		6257.99	1751.79	62.9665	17.8632	6985088	645157	1200	18		"Biota;Vatten"	VAL-2018-05-14	GBSY44
156752	264380	REFM2S2		REFM2S2	5707.60	1635.61	57.1267	16.5935	6332613	596468	1200			"Biota;Vatten"	VAL-2018-05-14	
156753	264381	KORNHALL			5749.10	1152.80	57.8183	11.88	6412757	314686	1200	9		"Biota;Vatten"	VAL-2018-05-14	KANI11
156754	264382	VS2MS			5745.21	1639.48	57.7535	16.658	6402475	598670	1200			"Biota;Vatten"	VAL-2018-05-14	
